method,optimizer,architecture,dataset,horizon,mse,mse_ci,nll,nll_ci,coverage95,coverage95_ci,interval_width,interval_width_ci,test_count,configuration_id,parameter_count,proper,status,selected,selection_mean_nll,selection_mean_mse,source_provenance
Precision-gated ensemble,NGMP,affine independent-expert,ETTh1,96,0.24337451139445895,0.025979723250601945,0.8223963118854796,0.09694146281563953,0.827536231884058,0.028188112085664196,1.4355524788331369,0.0009929722215342672,690,linear2_ngmp,476,true,ok,false,0.8428948220247631,0.2549352663886819,paper_materials/etth_precision_gated/raw_linear2/selection/ETTh1_h96_linear2_ngmp.jls
Precision-gated ensemble,NGMP,affine independent-expert,ETTh1,192,0.2817018275946982,0.025881150909100134,0.9692266087233751,0.09722975901061512,0.7725947521865889,0.03136621763116965,1.4302700781937743,0.00017713223705218605,686,linear2_ngmp,476,true,ok,false,0.8428948220247631,0.2549352663886819,paper_materials/etth_precision_gated/raw_linear2/selection/ETTh1_h192_linear2_ngmp.jls
Precision-gated ensemble,NGMP,affine independent-expert,ETTh1,336,0.23944783522667323,0.01656225189744451,0.7954716597267094,0.05982819102705341,0.8970588235294118,0.022840134628181914,1.4578920269913058,0.0003325675376608923,680,linear2_ngmp,476,true,ok,false,0.8428948220247631,0.2549352663886819,paper_materials/etth_precision_gated/raw_linear2/selection/ETTh1_h336_linear2_ngmp.jls
Precision-gated ensemble,NGMP,affine independent-expert,ETTh1,720,0.2552168913388973,0.026815930336787874,0.7844847077634882,0.07917800151274296,0.8646616541353384,0.0259998474683174,1.6117444726064951,0.0023712386406178148,665,linear2_ngmp,476,true,ok,false,0.8428948220247631,0.2549352663886819,paper_materials/etth_precision_gated/raw_linear2/selection/ETTh1_h720_linear2_ngmp.jls
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,96,0.14128470713648997,0.01757453293536107,0.44954618223948944,0.07504937136020366,0.881159420289855,0.024145331409875983,1.3424296507374365,0.0005800766986811067,690,consensus_linear_all_g1p5_no_beta,911,true,ok,false,0.6263443165455325,0.1965227401989891,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h96/linear_all_L2_nobeta_scalar__consensus_linear_all_g1p5_no_beta_tx.jld2
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,192,0.25489913870407016,0.024086084827065687,0.8181667580212897,0.07882208637870244,0.8250728862973761,0.02842894583690546,1.5344735568742502,0.0011535525298737024,686,consensus_linear_all_g1p5_no_beta,911,true,ok,false,0.6263443165455325,0.1965227401989891,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h192/linear_all_L2_nobeta_scalar__consensus_linear_all_g1p5_no_beta_tx.jld2
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,336,0.21293908129930042,0.01461236771901536,0.6486125821260456,0.03856668132616515,0.9779411764705882,0.011039290808718624,1.7036311651523888,0.0011682980862010364,680,consensus_linear_all_g1p5_no_beta,911,true,ok,false,0.6263443165455325,0.1965227401989891,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h336/linear_all_L2_nobeta_scalar__consensus_linear_all_g1p5_no_beta_tx.jld2
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,720,0.1769680336560959,0.021837511294357608,0.5890517437953053,0.04205190729763233,0.9729323308270676,0.012334002040864234,2.0039452770698274,0.001394168974031358,665,consensus_linear_all_g1p5_no_beta,911,true,ok,false,0.6263443165455325,0.1965227401989891,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h720/linear_all_L2_nobeta_scalar__consensus_linear_all_g1p5_no_beta_tx.jld2
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,96,0.15463008789820928,0.01945628453050819,0.4940963978498356,0.07528479947919449,0.8782608695652174,0.024397785570918644,1.4093051147655544,0.00014484776348410843,690,consensus_linear_all_g1p5_beta_rate_1,918,true,ok,false,0.6880404580602584,0.2254671261621999,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h96/linear_all_L2_beta_scalar__consensus_linear_all_g1p5_beta_rate_1_tx.jld2
Precision-gated ensemble,NGMP,consensus-x depth-2 linear_all,ETTh1,192,0.27211879875556494,0.025445249569742902,0.8370300919268968,0.07558234059473426,0.8367346938775511,0.02765838865286662,1.6085989700891432,0.00020147970058718333,686,consensus_linear_all_g1p5_beta_rate_1,918,true,ok,false,0.6880404580602584,0.2254671261621999,paper_materials/etth_precision_gated/raw_consensus/selection_etth1_h192/linear_all_L2_beta_scalar__consensus_linear_all_g1p5_beta_rate_1_tx.jld2
