method,optimizer,architecture,dataset,horizon,mse,mse_ci,rmse,rmse_ci,nll,nll_ci,coverage95,coverage95_ci,interval_width,interval_width_ci,test_count,configuration_id,source_provenance,target_trace_sha256,expert_trace_sha256,expert_hashes,vae_sha256,units,ci_convention
Neural MoE,Adam,affine,ETTh1,96,0.14712262513391164,0.006917613887274083,0.38356567251764284,0.009017509103289077,2.055308870462567e25,1.553627452000401e25,0.0002901915264074289,0.0005686824090062466,0.0009668820810469968,0.00010981937304577605,3446,adam_affine,../probabilistic_ensemble_forecasting/paper/results_vae_std/neural_ensemble/ETTh1_h96_neural_ensemble_cef6ae74.jld2,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Neural MoE,Adam,two-layer ReLU,ETTh1,96,0.15644494131361678,0.007642241241525952,0.395531214082551,0.009660730897373558,2.2758654214544898e24,1.1905693846440706e24,0.0011607661056297156,0.00113686948599306,0.0009278801324991417,0.0001036299765123034,3446,adam_relu2,../probabilistic_ensemble_forecasting/paper/results_vae_std/neural_ensemble_big/ETTh1_h96_neural_ensemble_cb998fc9.jld2,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Bayesian neural MoE,IVON,"affine, K=1000",ETTh1,96,0.1468106486568887,0.006904400458948076,0.38315877734548726,0.009009842481988224,10.277727596796973,0.7366229130240649,0.0943122460824144,0.009758065887173942,0.09500124795098593,0.004104691868861511,3446,ivon_affine_k1000,paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_ivon.jld2,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Bayesian neural MoE,IVON,"two-layer ReLU, K=1000",ETTh1,96,0.14683474089604448,0.00690717947678594,0.3831902150317052,0.009012729456328156,2216.8905428866487,676.2775628199328,0.0261172373766686,0.0053248504151428315,0.0303353070864445,0.0019294299653969081,3446,ivon_relu2_k1000,paper_materials/ivon/moe/checkpoints/ETTh1_h96_moe_big_ivon.jld2,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Dynamic PGE,projective VMP,historical 2026 precision gate,ETTh1,96,0.12836496822566715,0.005968190024096941,0.3582805719344368,0.008328933371789252,0.4120348692644042,0.01728792887161958,0.9788160185722576,0.00480778216436596,1.6253002040572508,0.0004625519735764697,3446,historical_dynamic_pge_2026,../probabilistic_ensemble_forecasting/paper/results_vae_std/dynamic/ETTh1_h96_OT_dynamic_4163653858683196987.jld2,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Precision-gated ensemble,NGMP,"affine independent-expert, pre-existing",ETTh1,96,0.126286051751359,0.005959114545101505,0.35536748831506665,0.00838443968714745,0.38879455820922126,0.02098019427289248,0.9657573998839234,0.006071665589554443,1.4816950028328997,0.004479214163573092,3446,linear2_ngmp,results/etth_ct_table/ETTh1_h96_linear2_ngmp.jls,0e48e3d5d36876b61670d43015ab1338c3410576481f91a398ea4fe483085ca6,a4c8d9827f8c80ffd7df210203ffe0c77b2f00326d76f1be2a5e53e7008c2a22,CNN:8ac73f007ac7fe1add0aadbf977e9ab379b1038badd6d353cd30467dd1db353c;NLinear:d040b63b65206d11de50288e676dca8449a4e1298f6f6d48a5f4cbc1e56cdcc3;LSTM:afd03f9a86b9e3b66341987859b996fe0d652a5d8ef6336488bdbec76ac3a0c2;DLinear:9f3d2e6eab1a1fcbf92effda47430799d0cec4e3d11b321df1c6ab33e9c6a949;NConv:97f0a6e1411531675379f9092790973d76650e9efb99c4127e7e469de79e77c4,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Neural MoE,Adam,affine,ETTh1,192,0.13682578591016595,0.0067548721907240965,0.3698996970939094,0.009130680889702356,1.1049950685265731e22,1.035350484893751e22,0.0011675423234092236,0.0011435023233659896,0.0022298918186884685,0.0002338757809280306,3426,adam_affine,../probabilistic_ensemble_forecasting/paper/results_vae_std/neural_ensemble/ETTh1_h192_neural_ensemble_1ffca9ef.jld2,ddd3e88aeb6011a4261f7c93250c09a884d52ce63f31ea6690083a2b9bd59f6c,acd127c99edf95d74b13c1db2be0ad251af7b3f596b0690dad13f74b87c8a1af,CNN:2762d89983d1692e7099c0ec029d08a1bcca6a2532abcf52df169d91b2445f99;NLinear:6d52411a448a22d75a6774cbc6039a374b219eb2dc5aacde8af715ad1e47acf8;LSTM:04761e9a755929e07c5301f573fb15f3f3b3e64c6d9ab6e5709363b5e521b234;DLinear:cd978684db319c6edcefd36d471c15f43bc2504c97008c27432dd37b2b26c3dd;NConv:ef5c906169eb1fb1836adc0f7ab3dfc702051979c01bafc4a77c77632364a755,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Neural MoE,Adam,two-layer ReLU,ETTh1,192,0.1368287960076406,0.006755006432896169,0.36990376587382917,0.009130761911734956,1.2482036785690714e19,8.294217178987792e18,0.0014594279042615295,0.0012782876478582656,0.002399688642935357,0.00022249342652779015,3426,adam_relu2,../probabilistic_ensemble_forecasting/paper/results_vae_std/neural_ensemble_big/ETTh1_h192_neural_ensemble_768c93fd.jld2,ddd3e88aeb6011a4261f7c93250c09a884d52ce63f31ea6690083a2b9bd59f6c,acd127c99edf95d74b13c1db2be0ad251af7b3f596b0690dad13f74b87c8a1af,CNN:2762d89983d1692e7099c0ec029d08a1bcca6a2532abcf52df169d91b2445f99;NLinear:6d52411a448a22d75a6774cbc6039a374b219eb2dc5aacde8af715ad1e47acf8;LSTM:04761e9a755929e07c5301f573fb15f3f3b3e64c6d9ab6e5709363b5e521b234;DLinear:cd978684db319c6edcefd36d471c15f43bc2504c97008c27432dd37b2b26c3dd;NConv:ef5c906169eb1fb1836adc0f7ab3dfc702051979c01bafc4a77c77632364a755,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Bayesian neural MoE,IVON,"affine, K=1000",ETTh1,192,0.13655998515500523,0.006741966362352681,0.36954023482566173,0.00912210055494139,35514.80073506843,11067.129701951533,0.023642732049036778,0.005087537501849,0.023584574405238045,0.0015524076463290463,3426,ivon_affine_k1000,paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_ivon.jld2,ddd3e88aeb6011a4261f7c93250c09a884d52ce63f31ea6690083a2b9bd59f6c,acd127c99edf95d74b13c1db2be0ad251af7b3f596b0690dad13f74b87c8a1af,CNN:2762d89983d1692e7099c0ec029d08a1bcca6a2532abcf52df169d91b2445f99;NLinear:6d52411a448a22d75a6774cbc6039a374b219eb2dc5aacde8af715ad1e47acf8;LSTM:04761e9a755929e07c5301f573fb15f3f3b3e64c6d9ab6e5709363b5e521b234;DLinear:cd978684db319c6edcefd36d471c15f43bc2504c97008c27432dd37b2b26c3dd;NConv:ef5c906169eb1fb1836adc0f7ab3dfc702051979c01bafc4a77c77632364a755,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
Bayesian neural MoE,IVON,"two-layer ReLU, K=1000",ETTh1,192,0.1366999944722695,0.006748172854863722,0.3697296234713544,0.009125821176439425,2.2344171885100704e8,9.227955600214168e7,0.009632224168126095,0.0032705135503675853,0.011844104992680606,0.0009389114334167799,3426,ivon_relu2_k1000,paper_materials/ivon/moe/checkpoints/ETTh1_h192_moe_big_ivon.jld2,ddd3e88aeb6011a4261f7c93250c09a884d52ce63f31ea6690083a2b9bd59f6c,acd127c99edf95d74b13c1db2be0ad251af7b3f596b0690dad13f74b87c8a1af,CNN:2762d89983d1692e7099c0ec029d08a1bcca6a2532abcf52df169d91b2445f99;NLinear:6d52411a448a22d75a6774cbc6039a374b219eb2dc5aacde8af715ad1e47acf8;LSTM:04761e9a755929e07c5301f573fb15f3f3b3e64c6d9ab6e5709363b5e521b234;DLinear:cd978684db319c6edcefd36d471c15f43bc2504c97008c27432dd37b2b26c3dd;NConv:ef5c906169eb1fb1836adc0f7ab3dfc702051979c01bafc4a77c77632364a755,fa1b7f4a7fd35539429c4ea286c49f395631b7b26a0e878b80abca611d062ba9,standardized OT,per-origin normal CI; RMSE uses delta method from MSE
