learning_rate,ess_multiplier,architecture,nll,mse,test_targets_read
0.001,1,moe,10.832740269943534,0.14007576103121616,false
0.001,1,moe_big,14.773331015465397,0.14079374413650905,false
0.001,100,moe,679.4239536928958,0.1454096734459123,false
0.001,100,moe_big,547.2736134397127,0.14532078972348916,false
0.01,1,moe,245.7664338691082,0.14565932344761673,false
0.01,1,moe_big,1322.1407424745885,0.1943097625477416,false
0.01,100,moe,1497.7861529172637,0.14579173950720561,false
0.01,100,moe_big,204296.7558362103,0.14137860056500773,false
0.1,1,moe,13131.186289722355,0.14597921920279033,false
0.1,1,moe_big,2.151225225711691e6,0.146037682617409,false
0.1,100,moe,152334.47278844327,0.14601752589900735,false
0.1,100,moe_big,1.0230441371234478e9,0.1460401576465612,false
