epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,1.3196440838951353,-1.3303432563952795,-3.5487635598582568,0.9055853540686759,8.324862798361599
10,1.1745752037883097,-1.1473349951929805,-3.365755298655958,0.6737622139843424,6.193759616711826
15,1.1132673476902373,-1.0832630974342796,-3.3016834008972564,0.5683928129664366,5.225120040949892
20,1.0730761291053883,-1.0820112368135957,-3.3004315402765725,0.564974633687923,5.193697426557771
25,1.0377579679698992,-1.039855377751807,-3.258275681214784,0.48267200123007264,4.437105964041198
30,1.016329266622772,-1.0289840610542882,-3.247404364517265,0.4600386114454818,4.2290418196087805
35,1.0129090189059382,-1.0340829520271668,-3.2525032554901436,0.47098877376980974,4.3297044281326675
40,1.0141852834696874,-1.0511459054348906,-3.2695662088978676,0.5066953616983866,4.657947889751029
45,0.997389567510423,-1.0207389877565445,-3.2391592912195213,0.44013900551283514,4.046108774390854
50,1.0000763064783185,-1.0172881649993182,-3.2357084684622954,0.4298948449583492,3.95193627826565
55,0.9987494353851654,-1.0165323976884395,-3.2349527011514168,0.4308762508885377,3.9609581544355508
60,0.9889893951509284,-1.0119008631871953,-3.2303211666501723,0.42017094954085216,3.8625464785731944
65,0.9875900392718886,-1.0095627668335876,-3.2279830702965646,0.41265599869994785,3.7934630569402144
70,0.9843913732064674,-1.0084122215362041,-3.226832524999181,0.41014812769025555,3.7704087180446324
75,0.9939111506151979,-1.0251473155220954,-3.2435676189850726,0.4514825128127567,4.1503873452353135
80,0.9915625352439787,-1.015736462307535,-3.234156765770512,0.4279536122529623,3.9340909191114317
85,0.984604661651229,-1.00817889582257,-3.226599199285547,0.4100360180048722,3.7693781156103987
90,0.9866001081350089,-1.0123195645247223,-3.2307398679876993,0.4214271220826119,3.874094210276453
95,0.9805137166767074,-1.0085325098467803,-3.226952813309757,0.41057587076198043,3.7743408787392383
100,0.9765580191588926,-1.0052294611735637,-3.2236497646365407,0.40345062494994444,3.708839933905207
105,0.982741117477417,-1.0049533749510244,-3.2233736784140015,0.402267068343138,3.697959746741183
110,0.9769680128412317,-1.0108837102998844,-3.2293040137628615,0.41857170229666035,3.8478449316555348
115,0.9767233213468985,-1.014506701559891,-3.232927005022868,0.4267298281145356,3.9228409352313194
120,0.9691658837579573,-1.015891961766654,-3.2343122652296312,0.43045170295444063,3.957055392025459
125,0.9870300753483854,-1.0278407929364302,-3.246261096399407,0.4587112348491075,4.216839537128497
130,0.9743124261170553,-1.0177152356806973,-3.2361355391436746,0.43541318055837724,4.002665236918211
135,0.9775811406102914,-1.0153916178127953,-3.2338119212757723,0.4296818337909629,3.949978127303596
140,0.9689412618324634,-1.0083703787622416,-3.226790682225219,0.41232564178590647,3.790426175884142
145,0.9724733991261508,-1.0105789282031163,-3.2289992316660934,0.41780074933399974,3.8407577206001338
150,0.9726814159845665,-1.0065253779255523,-3.2249456813885296,0.4085086882287915,3.755337680652627
155,0.9816674727099449,-1.0164025585502336,-3.2348228620132105,0.4316331007165776,3.9679157347898286
160,0.9774931957785833,-1.0215744153551534,-3.2399947188181306,0.4440918066961357,4.082446094669651
165,0.9753300490764067,-1.0026828942684312,-3.2211031977314084,0.3979409030227637,3.6581901717116994
170,0.970107051154512,-1.0111575446349903,-3.2295778480979673,0.4188483150666557,3.8503877886889324
175,0.9669564598055516,-1.0117531047019404,-3.2301734081649176,0.4220508625100742,3.879828155496036
180,0.964835045681606,-1.0145151193687056,-3.232935422831683,0.4290202605511545,3.943896414673023
185,0.966536546977633,-1.0006355206746773,-3.219055824137654,0.3934365931540691,3.6167829697922524
190,0.9639519504055126,-1.0158618095267997,-3.234282112989777,0.43156164990961865,3.9672588971559852
195,0.9643447884429055,-1.0292983449211959,-3.247718648384173,0.4626166418794116,4.252741151031971
200,1.0100779666002921,-0.9957350930535257,-3.2141553965165026,0.380394076214094,3.4968857415788577
205,0.9667430501112436,-1.0141650682049883,-3.232585371667965,0.4284842463830685,3.93896894888657
210,0.9696936022973003,-1.00538699898569,-3.223807302448667,0.40574632978438324,3.729943882134459
215,0.9651082299449333,-1.0116660558510058,-3.230086359313983,0.42189038613322766,3.878352930793515
220,0.9680111609344669,-1.0331706487322223,-3.2515909521951993,0.47171603352598146,4.336390014707966
225,0.9627833073471461,-1.0047699767225324,-3.2231902801855092,0.40449157966940147,3.718409228878691
230,0.9591205480046261,-1.0067372982890095,-3.2251576017519863,0.4097125458056458,3.7664045097776664
235,0.9599124819841828,-1.0020385217938361,-3.220458825256813,0.3982742090322153,3.6612541935449685
240,0.962264132674574,-0.9983843031963674,-3.2168046066593443,0.38804971897831614,3.5672625240380946
245,0.9615303936680838,-0.9952755840265602,-3.2136958874895374,0.37907139350544794,3.484726602502368
250,0.9625599844822965,-1.010988438908728,-3.229408742371705,0.4196853493289136,3.8580824706289896
255,0.9595526577790967,-1.0046218699758684,-3.2230421734388455,0.4039174099106138,3.7131310010461105
260,0.9574695181438567,-1.0010159686723998,-3.219436272135377,0.3951642358854201,3.6326648433381843
265,0.966427592310171,-1.003251287145146,-3.221671590608123,0.40115764595095166,3.687761052071536
270,0.9573237976118522,-0.9970546481518133,-3.2154749516147905,0.3845183411063045,3.5347992839928732
275,0.9646654470042669,-1.0029238874909043,-3.2213441909538814,0.40026967779533196,3.6795981343320094
280,0.9562941104683724,-1.009902550612174,-3.228322854075151,0.41782554104953123,3.840985633042642
285,0.9554038273676101,-0.9931596829283207,-3.211579986391298,0.37394301535912466,3.4375824531962205
290,0.9557859288451142,-0.9956271402660839,-3.214047443729061,0.3808054667957054,3.500667582899497
295,0.9575941636976228,-0.9916413199569345,-3.2100616234199117,0.3699244438675379,3.400640540421845
300,0.9547173102502426,-1.0044592624307693,-3.2228795658937464,0.4040925932742557,3.714741428822822
305,0.9581220310299787,-1.0066224970179234,-3.2250428004809004,0.41025057513006136,3.771350504436352
310,0.9586842395274155,-1.0043157661557023,-3.222736069618679,0.4038382048858126,3.7124028831502995
315,0.9563368723561536,-0.999712062933074,-3.218132366396051,0.39181502939307106,3.601876265333731
320,0.95357737345917,-0.9941871322185065,-3.2126074356814835,0.3767457464955899,3.463347396188728
325,0.9597295588269502,-0.9917116557811905,-3.2101319592441673,0.370334157010945,3.40440694304071
330,0.9554423112741018,-1.0023520545708131,-3.2207723580337904,0.40053029708933835,3.681993944761782
335,0.9573610790784318,-1.0086924156528618,-3.227112719115839,0.4147029907052323,3.812280657059294
340,0.9574599344747865,-0.9969821006483471,-3.215402404111324,0.3846504139593635,3.536013400216797
345,0.9539854140328312,-0.9970421479474918,-3.2154624514104686,0.384791099638294,3.537306694843648
350,0.9570709179840927,-1.000655082830021,-3.2190753862929977,0.39420813515704123,3.623875593709271
355,0.9522723374856422,-1.001319796229516,-3.219740099692493,0.39704821227769743,3.649983852040704
360,0.9528543084932715,-0.9974462782960084,-3.2158665817589855,0.3868968110041905,3.556664072441993
365,0.959169524806053,-0.9973304101184552,-3.215750713581432,0.3864468420665918,3.5525275958683062
370,0.9553335304656647,-1.0030420716707567,-3.2214623751337337,0.40087327303334913,3.6851468586228298
375,0.9583457279904839,-0.9951692089385824,-3.213589512401559,0.3799285528817795,3.492606281043778
380,0.9738033616455377,-0.9992844330930091,-3.2177047365559863,0.39125684888278056,3.596745013251242
385,0.9588883099462701,-0.999933693206137,-3.218353996669114,0.39285369375945606,3.6114244890448592
390,0.9566307385568222,-1.0072255004834425,-3.2256458039464198,0.41129343865277607,3.7809373300668896
395,0.9550525677233278,-0.9939502222040152,-3.212370525666992,0.3769784547619569,3.4654866329989646
