epoch,training_nll
1,17.929034415676497
2,1.525119095067335
3,1.4710430828873857
4,1.3729237900416498
5,1.3506120670330533
6,1.3288965943457767
7,1.3142765578169886
8,1.3064347346513283
9,1.296499483199315
10,1.2916967649274274
11,1.288135717775028
12,1.2823420158270915
13,1.2787132968995372
14,1.2766607978262778
15,1.275363970250202
16,1.2683821813028002
17,1.2649935409374913
18,1.2620054099856357
19,1.2631742636970218
20,1.2559020080195276
21,1.254184305046564
22,1.253694569095296
23,1.2503604523583864
24,1.245828392523871
25,1.2452189693689513
