epoch,training_nll,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original
5,1.336512118693024,-1.3021761299526895,-1.0934057027914192,0.8754264731069348,0.7104799692439436
10,1.273029200819008,-1.2538050768015225,-1.0450346496402523,0.8181848476731386,0.6640237223463881
15,1.2435225851287253,-1.2313679729651603,-1.02259754580389,0.7901884567246122,0.6413023680945205
20,1.223317714271398,-1.219410480315264,-1.0106400531539936,0.7748729082825281,0.6288725516692306
25,1.2116219656808036,-1.2141692853691675,-1.0053988582078972,0.7680494838769694,0.6233347866705338
30,1.2005073941352284,-1.2131547178178834,-1.0043842906566132,0.7666923720538775,0.6222333798283558
35,1.1928027808436095,-1.2135019924752501,-1.00473156531398,0.7671060292575584,0.6225690959815309
40,1.1854845718067124,-1.2093033957583357,-1.0005329685970654,0.7615619629160849,0.61806963415733
45,1.1807920444886197,-1.2105205569829767,-1.0017501298217064,0.7631740729721991,0.6193779929114176
50,1.1746227032429464,-1.2085170210306522,-0.999746593869382,0.7605060166429121,0.6172126476366101
55,1.1708293729767376,-1.2033725202341623,-0.9946020930728922,0.7536889933234179,0.611680077237831
60,1.1647061919613695,-1.2037726328305898,-0.9950022056693196,0.7542135029568234,0.6121057595340521
65,1.1618371948772415,-1.207423531493859,-0.9986531043325889,0.759010110301425,0.6159985973302439
70,1.1563550602054964,-1.2022009760954517,-0.9934305489341816,0.7520382624894811,0.6103403744253381
75,1.1545094780940346,-1.2020023890561506,-0.9932319618948805,0.7517119534796508,0.610075548233205
80,1.1492717855225199,-1.20702147598387,-0.9982510488225999,0.7583700557153717,0.6154791407275843
85,1.1433796348719063,-1.199054393878042,-0.9902839667167719,0.7477185584021327,0.6068345820168863
90,1.1422244623360946,-1.196478064981784,-0.987707637820514,0.7442128399668478,0.6039894058032758
95,1.1390451524248455,-1.1987429449866653,-0.9899725178253952,0.74725286930399,0.6064566375800631
100,1.1336365500932495,-1.2039115966059928,-0.9951411694447226,0.754130680088678,0.6120385415310393
105,1.1308822130144334,-1.1971501068447017,-0.9883796796834315,0.7450269725183984,0.6046501404472117
110,1.1281733922516517,-1.194977169220857,-0.9862067420595869,0.7420957796172991,0.6022712384416338
115,1.1236226406797019,-1.204485729064596,-0.9957153019033259,0.7547925410748627,0.6125756950826039
120,1.1231636913586767,-1.1935413499534833,-0.9847709227922131,0.7401018269678995,0.6006529832669819
125,1.1158815705177867,-1.195871537020824,-0.9871011098595538,0.7431926981206181,0.6031614769227507
130,1.1141049360216355,-1.2023551060480047,-0.9935846788867345,0.751901248424328,0.6102291755112325
135,1.1132334153164307,-1.1993946962354152,-0.990624269074145,0.7479390063332843,0.6070134929195082
140,1.1112790296436736,-1.198916197982571,-0.990145770821301,0.7472461901744112,0.6064512159978896
145,1.1087580251877833,-1.19749809262693,-0.9887276654656599,0.745330850467927,0.6048967618133555
150,1.1040154433158373,-1.1944295530512494,-0.9856591258899793,0.741112903116599,0.6014735535148652
155,1.1024478581881432,-1.1943962527396155,-0.9856258255783453,0.7411085603898674,0.6014700289544956
160,1.102507581121673,-1.1980842837976942,-0.989313856636424,0.7459954430544334,0.6054361326861135
165,1.0960794885186156,-1.2011425158304196,-0.9923720886691495,0.7501414169395737,0.608800928560535
170,1.0932005602420527,-1.191029186326916,-0.9822587591656459,0.736398424227368,0.5976473693257722
175,1.0907312737468586,-1.1962708859665598,-0.9875004588052897,0.743471214696386,0.6033875155438082
180,1.0900856072377973,-1.2006778362745907,-0.9919074091133205,0.7494095977367484,0.6082069974809059
185,1.085332187446388,-1.1952901208467248,-0.9865196936854547,0.7420932473947348,0.6022691824609075
190,1.0854219589454326,-1.2058677697614368,-0.9970973426001667,0.7562178354110629,0.6137324367774202
195,1.0816242717868112,-1.1950876299882698,-0.9863172028269996,0.7417602442844736,0.6019989232619223
200,1.079671362192014,-1.206044554127883,-0.9972741269666129,0.756483032536786,0.6139476659783165
205,1.076939361896294,-1.1996930608807963,-0.9909226337195262,0.7479626514876361,0.6070326823104804
210,1.0764038489131853,-1.1994967096683835,-0.9907262825071134,0.7476922241207882,0.6068132086316491
215,1.0722638971557028,-1.1936665694393083,-0.9848961422780381,0.7396964652588803,0.6003239977983571
220,1.072663471045181,-1.1949394334218848,-0.9861690062606147,0.7414833174575172,0.6017741746018959
225,1.073547643584174,-1.2002248400301676,-0.9914544128688975,0.748653960666931,0.6075937358202931
230,1.0697124059596117,-1.1974793431327109,-0.9887089159714407,0.7448940606114732,0.6045422705205565
235,1.066862890158841,-1.1989179844620133,-0.9901475573007431,0.7469016036348491,0.6061715552805307
240,1.0659442274726956,-1.20117849053668,-0.9924080633754099,0.7499275478375957,0.6086273555583936
245,1.06595165342898,-1.2053466144663325,-0.9965761873050624,0.7555686308334215,0.613205554576556
250,1.0650027194078364,-1.2025911120740946,-0.9938206849128245,0.7519021630096538,0.6102299167866289
255,1.061639718107275,-1.2092648386682672,-1.000494411506997,0.7607104825804906,0.6173785863561594
260,1.0610393649362688,-1.2098998833204102,-1.00112945615914,0.7615914803274689,0.6180935878430194
265,1.0604935286127923,-1.1981032052293479,-0.9893327780680777,0.7458194047286213,0.6052932626862242
270,1.0591821850036562,-1.20031857888788,-0.9915481517266099,0.7488283157781326,0.6077352391578627
