dataset,dataset_name,split,learning_rate,ess_multiplier,status,error,model_seed,batch_seed,validation_seed,best_epoch,validation_lpd_standardized,validation_lpd_original,validation_rmse_standardized,validation_rmse_original,stopped_early,elapsed_seconds,checkpoint
yacht,Yacht,1,0.001,1,success,,20270828,20270838,20270848,500,-1.3471027582169508,-4.078562313557141,0.6901744099760768,10.597823130070092,false,134.6020040512085,pilot/checkpoints/yacht_lr0p001_ess1.jld2
yacht,Yacht,1,0.001,100,success,,20270828,20270838,20270848,500,-1.0258481849567398,-3.7573077402969295,0.44726882280353386,6.867939143055272,false,0.36812281608581543,pilot/checkpoints/yacht_lr0p001_ess100.jld2
yacht,Yacht,1,0.01,1,success,,20270828,20270838,20270848,500,-1.098073226504359,-3.8295327818445486,0.3822346381694606,5.869320897942439,false,0.40676212310791016,pilot/checkpoints/yacht_lr0p01_ess1.jld2
yacht,Yacht,1,0.01,100,success,,20270828,20270838,20270848,495,-0.9641836486195638,-3.6956432039597535,0.2764965848739105,4.245683115279364,false,0.40705394744873047,pilot/checkpoints/yacht_lr0p01_ess100.jld2
yacht,Yacht,1,0.1,1,success,,20270828,20270838,20270848,265,-1.4791880074114996,-4.2106475627516895,1.0590689463073526,16.2623029389255,true,0.32398200035095215,pilot/checkpoints/yacht_lr0p1_ess1.jld2
yacht,Yacht,1,0.1,100,success,,20270828,20270838,20270848,430,-0.9324635342916,-3.66392308963179,0.13679232549256373,2.100484720521126,false,0.42778992652893066,pilot/checkpoints/yacht_lr0p1_ess100.jld2
concrete,Concrete,1,0.001,1,success,,20280828,20280838,20280848,500,-1.2107999262749962,-4.035767431810899,0.6346225865257467,10.699988775669105,false,1.1826190948486328,pilot/checkpoints/concrete_lr0p001_ess1.jld2
concrete,Concrete,1,0.001,100,success,,20280828,20280838,20280848,500,-1.0937269805224572,-3.91869448605836,0.5872312216871396,9.90095152864919,false,1.6827809810638428,pilot/checkpoints/concrete_lr0p001_ess100.jld2
concrete,Concrete,1,0.01,1,success,,20280828,20280838,20280848,495,-1.0922159009974468,-3.9171834065333497,0.4842819148903974,8.165185303787533,false,1.1063001155853271,pilot/checkpoints/concrete_lr0p01_ess1.jld2
concrete,Concrete,1,0.01,100,success,,20280828,20280838,20280848,475,-0.9977218495765726,-3.8226893551124754,0.389884820798037,6.573612815240621,false,1.4248008728027344,pilot/checkpoints/concrete_lr0p01_ess100.jld2
concrete,Concrete,1,0.1,1,success,,20280828,20280838,20280848,470,-1.0227374746342845,-3.8477049801701875,0.40211561351781183,6.779828880232712,false,1.8080451488494873,pilot/checkpoints/concrete_lr0p1_ess1.jld2
concrete,Concrete,1,0.1,100,success,,20280828,20280838,20280848,440,-0.9564198356990936,-3.7813873412349963,0.2648786127786373,4.4659585175840215,false,1.670691967010498,pilot/checkpoints/concrete_lr0p1_ess100.jld2
energy,Energy,1,0.001,1,success,,20290828,20290838,20290848,500,-1.1540686020219129,-3.458415091016743,0.41466318132297153,4.153942145902268,false,0.8498120307922363,pilot/checkpoints/energy_lr0p001_ess1.jld2
energy,Energy,1,0.001,100,success,,20290828,20290838,20290848,500,-0.9777453198317355,-3.2820918088265656,0.33021994663280657,3.3080210906870535,false,1.0866460800170898,pilot/checkpoints/energy_lr0p001_ess100.jld2
energy,Energy,1,0.01,1,success,,20290828,20290838,20290848,480,-1.0497690193613625,-3.354115508356193,0.35438630926860515,3.5501107716756928,false,0.8433821201324463,pilot/checkpoints/energy_lr0p01_ess1.jld2
energy,Energy,1,0.01,100,success,,20290828,20290838,20290848,495,-0.9652324628557082,-3.2695789518505385,0.2953820666180735,2.9590281026745258,false,1.1337151527404785,pilot/checkpoints/energy_lr0p01_ess100.jld2
energy,Energy,1,0.1,1,success,,20290828,20290838,20290848,495,-0.9984976931590688,-3.302844182153899,0.3205082111184042,3.2107325286274713,false,1.1070101261138916,pilot/checkpoints/energy_lr0p1_ess1.jld2
energy,Energy,1,0.1,100,success,,20290828,20290838,20290848,480,-0.9363439439184356,-3.240690432913266,0.17847532801332106,1.787899726124773,false,1.2188990116119385,pilot/checkpoints/energy_lr0p1_ess100.jld2
housing,Boston Housing,1,0.001,1,success,,20300828,20300838,20300848,500,-1.1991442769544862,-3.4171657620714058,0.4505842443303701,4.140478138336961,false,0.6660289764404297,pilot/checkpoints/housing_lr0p001_ess1.jld2
housing,Boston Housing,1,0.001,100,success,,20300828,20300838,20300848,500,-1.0074387523874944,-3.2254602375044135,0.4086644861587549,3.755271951856214,false,0.851287841796875,pilot/checkpoints/housing_lr0p001_ess100.jld2
housing,Boston Housing,1,0.01,1,success,,20300828,20300838,20300848,485,-1.0645440782296605,-3.28256556334658,0.2788393622132061,2.56229173604863,false,0.6533870697021484,pilot/checkpoints/housing_lr0p01_ess1.jld2
housing,Boston Housing,1,0.01,100,success,,20300828,20300838,20300848,490,-0.9620203870013365,-3.180041872118256,0.272775956614455,2.506574287085647,false,0.7380321025848389,pilot/checkpoints/housing_lr0p01_ess100.jld2
housing,Boston Housing,1,0.1,1,success,,20300828,20300838,20300848,105,-1.293749433143404,-3.511770918260323,0.8654767280075126,7.9529799800041445,true,0.37866783142089844,pilot/checkpoints/housing_lr0p1_ess1.jld2
housing,Boston Housing,1,0.1,100,success,,20300828,20300838,20300848,115,-0.9605786588780082,-3.1786001439949274,0.2732658081730398,2.5110755881770572,true,0.3466148376464844,pilot/checkpoints/housing_lr0p1_ess100.jld2
power,Power Plant,1,0.001,1,success,,20310828,20310838,20310848,110,-0.9795569437164049,-3.8154789585776925,0.25339875256189004,4.319462959062586,true,7.652005910873413,pilot/checkpoints/power_lr0p001_ess1.jld2
power,Power Plant,1,0.001,100,success,,20310828,20310838,20310848,500,-0.9478288142519866,-3.7837508291132744,0.2360138654128851,4.023118258929669,false,18.62858009338379,pilot/checkpoints/power_lr0p001_ess100.jld2
power,Power Plant,1,0.01,1,success,,20310828,20310838,20310848,315,-0.9526425315102132,-3.788564546371501,0.23766927364407286,4.051336536509694,true,15.32172417640686,pilot/checkpoints/power_lr0p01_ess1.jld2
power,Power Plant,1,0.01,100,success,,20310828,20310838,20310848,480,-0.9457348857358991,-3.781656900597187,0.22812888009647866,3.8887099334480504,false,18.876030206680298,pilot/checkpoints/power_lr0p01_ess100.jld2
power,Power Plant,1,0.1,1,success,,20310828,20310838,20310848,260,-0.9488393927983427,-3.7847614076596305,0.23479949009507378,4.002417897623045,true,17.569061994552612,pilot/checkpoints/power_lr0p1_ess1.jld2
power,Power Plant,1,0.1,100,success,,20310828,20310838,20310848,495,-0.9434885807501311,-3.779410595611419,0.2206705754344636,3.761574847724398,false,20.47776198387146,pilot/checkpoints/power_lr0p1_ess100.jld2
wine,Wine,1,0.001,1,success,,20320828,20320838,20320848,485,-1.2797223538095954,-1.0687136163594988,0.8216130849096214,0.6653151479445639,false,3.005868911743164,pilot/checkpoints/wine_lr0p001_ess1.jld2
wine,Wine,1,0.001,100,success,,20320828,20320838,20320848,490,-1.2640232225683792,-1.0530144851182826,0.8301502987314483,0.6722283026653606,false,1.7227849960327148,pilot/checkpoints/wine_lr0p001_ess100.jld2
wine,Wine,1,0.01,1,success,,20320828,20320838,20320848,455,-1.2424096204051205,-1.0314008829550239,0.7853024480845838,0.6359119929326624,false,2.343714952468872,pilot/checkpoints/wine_lr0p01_ess1.jld2
wine,Wine,1,0.01,100,success,,20320828,20320838,20320848,260,-1.2425412859526164,-1.0315325485025197,0.8039157411677271,0.650984424060803,true,1.1785011291503906,pilot/checkpoints/wine_lr0p01_ess100.jld2
wine,Wine,1,0.1,1,success,,20320828,20320838,20320848,55,-1.2315615511325084,-1.0205528136824118,0.7787654448544578,0.6306185432481372,true,0.7423770427703857,pilot/checkpoints/wine_lr0p1_ess1.jld2
wine,Wine,1,0.1,100,success,,20320828,20320838,20320848,55,-1.227344156663139,-1.0163354192130423,0.785201726936832,0.6358304327677736,true,0.6621580123901367,pilot/checkpoints/wine_lr0p1_ess100.jld2
