dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
yacht,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,2.2691122575097418,-0.46848005577147234,1.2773643038414517,-0.47,
yacht,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,2.4805782550531577,-0.2574342122245592,0.6045447434829202,-0.47,
yacht,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,2.5304597511028843,-0.21198764437601403,1.209623346261316,-0.47,
yacht,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,2.875354488324793,0.136234435328753,0.45116870845849605,-0.47,
yacht,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,2.340759451075204,-0.3594122604701928,0.903453391769371,-0.47,
yacht,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,2.458531694519266,-0.2443180740402089,0.8604875294323447,-0.47,
yacht,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,2.1437771375806602,-0.5347636157385081,0.5721771941998227,-0.47,
yacht,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,2.634090258632049,-0.10540875484074208,0.3969412037893621,-0.47,
yacht,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,2.9822795516025433,0.2678391434380809,1.1282793660712875,-0.47,
yacht,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,1.7628998439252137,-0.963026963574857,1.6048412251802708,-0.47,
yacht,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,2.3737592900711255,-0.3608265134850366,0.47853394402582317,-0.47,
yacht,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,2.608127656850957,-0.09503724227655974,0.9525270073044758,-0.47,
yacht,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,2.0101782499494356,-0.696286183681702,1.1730381826889462,-0.47,
yacht,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,2.673932415268056,-0.04585086030812224,1.0280435991973862,-0.47,
yacht,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,1.943193411988826,-0.7847381530696944,1.3479099220729187,-0.47,
yacht,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,2.8417640023139246,0.17293757260004483,0.9081005867879745,-0.47,
yacht,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,2.5067819616657356,-0.22828287207429732,0.6350384556646091,-0.47,
yacht,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,2.5627495544113805,-0.17307659303658518,0.8100271659366333,-0.47,
yacht,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,2.767609343320867,0.01727081223793725,0.7565387214169152,-0.47,
yacht,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,2.0246154418305253,-0.662958042700402,1.5308526586150122,-0.47,
housing,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,-0.6622167285722552,-2.8672857513555656,3.3501566060858026,-2.41,
housing,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,-0.31087150343223663,-2.5377292953451103,3.2216325236371484,-2.41,
housing,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,-0.352232278503366,-2.563916607003486,3.8800290520079037,-2.41,
housing,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,-0.4502652734330668,-2.6819381632419645,4.385099064333885,-2.41,
housing,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,-0.4603766959635009,-2.680443022188378,3.7972440905687663,-2.41,
housing,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,-0.41108438718703083,-2.6030539940306223,3.107661181818074,-2.41,
housing,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,-0.44728253840542387,-2.6671967798957166,3.0922152415186166,-2.41,
housing,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,-0.39432557756274234,-2.600458348082131,3.877764807372731,-2.41,
housing,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,-0.4160812968613083,-2.6354827635172526,3.5175813084487753,-2.41,
housing,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,-0.2315917618742624,-2.4647378635927875,2.4344972549868222,-2.41,
housing,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,-0.36853435722268557,-2.59465864157003,3.338093135471678,-2.41,
