dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
yacht,multiscale_matern32_linear,1000,1,1,damped,0.0,ok,1.1421923640404574,-1.5953999492407567,1.4636728870797486,-0.47,
yacht,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,2.2691122575097418,-0.46848005577147234,1.2773643038414517,-0.47,
yacht,multiscale_matern32_linear,1000,1,3,vector_transport,0.8,ok,2.271669746060937,-0.4659225672202769,1.272252475469547,-0.47,
yacht,multiscale_matern32_linear,1000,1,4,vector_transport,0.8,ok,2.2716601375752066,-0.46593217570600753,1.2722780451331632,-0.47,
yacht,multiscale_matern32_linear,1000,1,5,vector_transport,0.8,ok,2.2716601377405303,-0.4659321755406838,1.2722779183860746,-0.47,
yacht,multiscale_matern32_linear,1000,2,1,damped,0.0,ok,1.6225395050226337,-1.1154729622550832,0.939747750158495,-0.47,
yacht,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,2.4805782550531577,-0.2574342122245592,0.6045447434829202,-0.47,
yacht,multiscale_matern32_linear,1000,2,3,vector_transport,0.8,ok,2.480085858931196,-0.25792660834652104,0.6050240596053968,-0.47,
yacht,multiscale_matern32_linear,1000,2,4,vector_transport,0.8,ok,2.480088412964528,-0.25792405431318866,0.6050224465935422,-0.47,
yacht,multiscale_matern32_linear,1000,2,5,vector_transport,0.8,ok,2.480088406446529,-0.2579240608311877,0.6050224506162897,-0.47,
yacht,multiscale_matern32_linear,1000,3,1,damped,0.0,ok,1.454772423480103,-1.2876749719987954,0.9611258779671602,-0.47,
yacht,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,2.5304597511028843,-0.21198764437601403,1.209623346261316,-0.47,
yacht,multiscale_matern32_linear,1000,3,3,vector_transport,0.8,ok,2.5308558329643303,-0.21159156251456812,1.2073904438140814,-0.47,
yacht,multiscale_matern32_linear,1000,3,4,vector_transport,0.8,ok,2.5308573532672933,-0.21159004221160504,1.2074063475011643,-0.47,
yacht,multiscale_matern32_linear,1000,3,5,vector_transport,0.8,ok,2.53085733811551,-0.21159005736338843,1.2074062920719004,-0.47,
yacht,multiscale_matern32_linear,1000,4,1,damped,0.0,ok,1.53030251820486,-1.2088175347911798,0.8949466190075108,-0.47,
yacht,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,2.875354488324793,0.136234435328753,0.45116870845849605,-0.47,
yacht,multiscale_matern32_linear,1000,4,3,vector_transport,0.8,ok,2.872484967839214,0.13336491484317436,0.45170806590018026,-0.47,
yacht,multiscale_matern32_linear,1000,4,4,vector_transport,0.8,ok,2.8725047338294205,0.13338468083338073,0.4517052989070442,-0.47,
yacht,multiscale_matern32_linear,1000,4,5,vector_transport,0.8,ok,2.8725046776939984,0.13338462469795864,0.4517053072052069,-0.47,
yacht,multiscale_matern32_linear,1000,5,1,damped,0.0,ok,1.3714115710276162,-1.3287601405177807,1.2996554431131704,-0.47,
yacht,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,2.340759451075204,-0.3594122604701928,0.903453391769371,-0.47,
yacht,multiscale_matern32_linear,1000,5,3,vector_transport,0.8,ok,2.339929185623135,-0.36024252592226214,0.9024116739680246,-0.47,
