dataset,dataset_name,depth,likelihood,optimizer,beta,n,lpd_standardized_mean,lpd_standardized_std,lpd_standardized_se,lpd_standardized_ci95,lpd_original_mean,lpd_original_std,lpd_original_se,lpd_original_ci95,rmse_original_mean,rmse_original_std,rmse_original_se,rmse_original_ci95,paper_dvi
concrete,Concrete,1,homoscedastic,damped,0.0,20,-0.3715465757601165,0.1280282256752644,0.028627981564857508,0.05611084386712072,-3.188088531684284,0.12879753721978687,0.02880000485580027,0.05644800951736853,6.071495373531079,0.836357047768492,0.18701512122713868,0.36654963760519177,-3.06
concrete,Concrete,2,heteroscedastic,vector_transport,0.8,20,-0.16857090316215695,0.0991089248086514,0.022161429304905986,0.04343640143761573,-2.9851128590863243,0.09920947160635303,0.022183912252364064,0.04348046801463356,6.20232157420512,0.8820733595216864,0.19723759930321022,0.38658569463429204,-3.06
concrete,Concrete,3,heteroscedastic,vector_transport,0.8,20,-0.1680235991501246,0.09898949285713383,0.022134723508678112,0.043384058077009104,-2.984565555074292,0.09909784551199033,0.022158951898858283,0.04343154572176223,6.198614499334901,0.8832776167824482,0.1975068794129563,0.3871134836493944,-3.06
concrete,Concrete,4,heteroscedastic,vector_transport,0.8,20,-0.16802579388067326,0.09899155396612905,0.022135184386660345,0.04338496139785428,-2.984567749804841,0.09909992435226783,0.022159416741675767,0.0434324568136845,6.198634762936711,0.8832768724784557,0.197506712981524,0.387113157443787,-3.06
concrete,Concrete,5,heteroscedastic,vector_transport,0.8,20,-0.16802579353749397,0.09899154809372619,0.022135183073551147,0.04338495882416025,-2.984567749461662,0.09909991827548822,0.02215941538286654,0.043432454150418416,6.198634749764108,0.8832768539099288,0.19750670882947516,0.3871131493057713,-3.06
energy,Energy,1,homoscedastic,damped,0.0,20,1.2043190811843285,0.11935556701296622,0.026688716133402398,0.0523098836214687,-1.1065274289383658,0.11909813035352705,0.026631151546361753,0.052197057030869035,0.7717413049204593,0.1141683957049592,0.025528829367838377,0.05003650556096322,-1.01
energy,Energy,2,heteroscedastic,vector_transport,0.8,20,1.33298420847988,0.15110579600437962,0.033788283166000896,0.06622503500536175,-0.9778623016428142,0.15127347073946662,0.03382577637657727,0.06629852169809144,0.7197365227411099,0.12262611065881822,0.027420031924952903,0.053743262572907693,-1.01
energy,Energy,3,heteroscedastic,vector_transport,0.8,20,1.3325233121359776,0.1495471906483695,0.0334397684133875,0.0655419460902395,-0.9783231979867166,0.14970081647129113,0.03347412019170271,0.06560927557573731,0.7197856672505907,0.12194675640744557,0.02726812369626563,0.053445522444680635,-1.01
energy,Energy,4,heteroscedastic,vector_transport,0.8,20,1.3325235697783473,0.14955183226294502,0.033440806309959124,0.06554398036751989,-0.978322940344347,0.14970548031267197,0.0334751630583391,0.06561131959434464,0.7197861784139523,0.12194906875573852,0.027268640753062703,0.05344653587600289,-1.01
energy,Energy,5,heteroscedastic,vector_transport,0.8,20,1.33252357274922,0.1495518292296489,0.03344080563169349,0.06554397903811925,-0.9783229373734745,0.14970547732592698,0.033475162390482614,0.06561131828534593,0.7197861764235787,0.12194906606469812,0.027268640151327773,0.05344653469660243,-1.01
housing,Boston,1,homoscedastic,damped,0.0,20,-0.4663699407253409,0.18938130278543902,0.04234694666957119,0.08300001547235952,-2.6834422357407286,0.18479667023261576,0.04132179166557407,0.08099071166452516,3.8148382202408784,0.8635342107930658,0.19309211962299277,0.3784605544610658,-2.41
housing,Boston,2,heteroscedastic,vector_transport,0.8,20,-0.4534622739472202,0.1772038411844293,0.03962398347624608,0.0776630076134423,-2.6705345689626077,0.17159458581449505,0.038369715845213204,0.07520464305661788,3.81601801445104,0.901594606003647,0.20160268271712947,0.39514125812557377,-2.41
housing,Boston,3,heteroscedastic,vector_transport,0.8,20,-0.454799377420922,0.17742515295067673,0.03967347029160106,0.07776000177153808,-2.6718716724363096,0.1718265026172994,0.0384215740188327,0.07530628507691209,3.820136451287626,0.9017833421203163,0.20164488539579764,0.39522397537576337,-2.41
housing,Boston,4,heteroscedastic,vector_transport,0.8,20,-0.4547942400779772,0.1774237957342974,0.03967316680879262,0.07775940694523352,-2.671866535093365,0.1718251104188765,0.038421262713801516,0.07530567491905096,3.820121087890996,0.9017824839681634,0.20164469350714276,0.3952235992739998,-2.41
housing,Boston,5,heteroscedastic,vector_transport,0.8,20,-0.4547942490183539,0.1774238001756708,0.039673167801913906,0.07775940889175126,-2.6718665440337412,0.1718251149639919,0.03842126373012022,0.07530567691103562,3.8201211138457842,0.9017824863532952,0.20164469404047444,0.39522360031932985,-2.41
power,Power,1,homoscedastic,damped,0.0,20,0.04272863157253405,0.0409549860370115,0.009157813279631243,0.017949314028077236,-2.794887283225436,0.04080606742158125,0.009124514064909524,0.017884047567222665,3.9499108743569997,0.15820321610965515,0.03537531454802787,0.06933561651413463,-2.8
power,Power,2,heteroscedastic,vector_transport,0.8,20,0.07750840564151053,0.05083060380325271,0.01136606854414324,0.022277494346520748,-2.7601075091564597,0.050703864021937495,0.011337728667495812,0.02222194818829179,3.9491449053348844,0.1654976263983868,0.03700639427416565,0.07253253277736468,-2.8
power,Power,3,heteroscedastic,vector_transport,0.8,20,0.06733485148650169,0.057302835716900855,0.01281330359664932,0.025114075049432666,-2.7702810633114687,0.05717302630307675,0.012784277329306312,0.02505718356544037,3.954078771012457,0.16625494473162541,0.0371757358015385,0.07286444217101545,-2.8
power,Power,4,heteroscedastic,vector_transport,0.8,20,0.06763985622716336,0.0571774354944633,0.012785263254472923,0.025059115978766932,-2.7699760585708066,0.05705142766225985,0.012757087046622494,0.02500389061138009,3.9541041517317437,0.16627205203906,0.03717956111177207,0.07287193977907326,-2.8
power,Power,5,heteroscedastic,vector_transport,0.8,20,0.06759595882509198,0.05719666179783128,0.012789562386601607,0.02506754227773915,-2.770019955972878,0.05706928776654154,0.012761080687348403,0.025011718147202867,3.9540999091809743,0.166272478530981,0.03717965647826479,0.072872126697399,-2.8
wine,Wine,1,homoscedastic,damped,0.0,20,-1.1893994816365765,0.06491659209473223,0.014515791279144673,0.028450950907123556,-0.9761281640777486,0.06313711537153745,0.014117888187400462,0.027671060847304904,0.656005932175298,0.040086804465936085,0.008963681978657524,0.017568816678168744,-0.9
wine,Wine,2,heteroscedastic,vector_transport,0.8,20,-1.1704892841642003,0.06900013632110652,0.015428899527074642,0.030240643073066297,-0.9572179666053723,0.06778834207943014,0.015157934097161525,0.02970955083043659,0.6581765695364861,0.04318053204216987,0.009655460495089965,0.01892470257037633,-0.9
wine,Wine,3,heteroscedastic,vector_transport,0.8,20,-1.1703898516383364,0.06851020041344169,0.015319346527658982,0.030025919194211603,-0.9571185340795083,0.06730381715315499,0.015049591029967092,0.029497198418735496,0.658225176937454,0.043075177901393764,0.009631902593041319,0.018878529082360984,-0.9
wine,Wine,4,heteroscedastic,vector_transport,0.8,20,-1.170390368026994,0.0685140244348944,0.01532020160485055,0.030027595145507076,-0.9571190504681664,0.06730762240004279,0.015050441909038322,0.029498866141715107,0.6582246773712573,0.043076074295858274,0.009632103032937048,0.018878921944556617,-0.9
wine,Wine,5,heteroscedastic,vector_transport,0.8,20,-1.1703903686662471,0.06851402332508769,0.015320201356690223,0.030027594659112835,-0.957119051107419,0.06730762126268383,0.015050441654717127,0.029498865643245567,0.6582246783900629,0.04307607386980429,0.009632102937668481,0.018878921757830226,-0.9
yacht,Yacht,1,homoscedastic,damped,0.0,20,1.3891108494690312,0.1717801682437139,0.03841121333792949,0.0752859781423418,-1.330297155283993,0.16396312194705312,0.03666326864766984,0.07186000654943289,1.2117679276596882,0.32601324748383503,0.07289877829393174,0.1428816054561062,-0.47
yacht,Yacht,2,heteroscedastic,vector_transport,0.8,20,2.4395277008498173,0.33217469688858087,0.07427652026482547,0.1455819797190579,-0.2798803039032069,0.3293886994265121,0.07365355229379271,0.14436096249583372,0.9314745628098668,0.3544532584319293,0.07925815807000944,0.1553459898172185,-0.47
yacht,Yacht,3,heteroscedastic,vector_transport,0.8,20,2.440977540958144,0.3309257831750288,0.07399725466867206,0.14503461915059723,-0.2784304637948801,0.3281487266480839,0.07337628595151123,0.14381752046496202,0.9295006613953168,0.35330434022947926,0.07900125214988292,0.15484245421377052,-0.47
yacht,Yacht,4,heteroscedastic,vector_transport,0.8,20,2.4409697657425355,0.33093329156056783,0.07399893359471871,0.14503790984564868,-0.2784382390104886,0.32815612013453127,0.07337793918533993,0.14382076080326625,0.9295120669672036,0.35330957049920386,0.07900242167374741,0.15484474648054491,-0.47
yacht,Yacht,5,heteroscedastic,vector_transport,0.8,20,2.4409697881540775,0.3309332697963025,0.07399892872808103,0.14503790030703884,-0.2784382165989468,0.3281560989644943,0.07337793445157577,0.1438207515250885,0.9295120359313556,0.3533095571039689,0.07900241867848182,0.15484474060982434,-0.47
